Month,Users,Percentage of World Population,Source
2007-12-01,1319000000,20,Internet World Stats
2008-03-01,1407000000,21.1,Internet World Stats
2008-06-01,1463000000,21.9,Internet World Stats
2008-09-01,1504000000,22.5,Internet World Stats
2008-12-01,1574000000,23.5,Internet World Stats
2009-03-01,1596000000,23.8,Internet World Stats
2009-06-01,1669000000,24.7,Internet World Stats
2009-09-01,1734000000,25.6,Internet World Stats
2009-12-01,1802000000,26.6,Internet World Stats
2010-06-01,1966000000,28.7,Internet World Stats
2010-09-01,1971000000,28.8,Internet World Stats
2011-03-01,2095000000,30.2,Internet World Stats
2011-06-01,2110000000,30.4,Internet World Stats
2011-09-01,2180000000,31.5,Internet World Stats
2011-12-01,2267000000,32.7,Internet World Stats
2012-03-01,2336000000,33.3,Internet World Stats
2012-06-01,2405000000,34.3,Internet World Stats
2012-09-01,2439000000,34.8,Internet World Stats
2012-12-01,2497000000,35.7,I.T.U.
2013-12-01,2802000000,39,Internet World Stats
2014-06-01,3035000000,42.3,Internet World Stats
2014-12-01,3079000000,42.4,Internet World Stats
2015-06-01,3270000000,45,Internet World Stats
2015-12-01,3366000000,46.4,Internet World Stats
2016-06-01,3631000000,49.5,Internet World Stats
2016-12-01,3696000000,49.5,Internet World Stats
2017-06-01,3885000000,51.7,Internet World Stats
2017-12-01,4156000000,54.4,Internet World Stats
2018-06-01,4208000000,55.1,Internet World Stats
2018-12-01,4313000000,55.6,Internet World Stats
2019-03-01,4383000000,56.8,Internet World Stats
2019-06-01,4536000000,58.8,Internet World Stats
2020-06-01,4833000000,62,Internet World Stats
